id,user_id,vehicle_id,name,introduction
1,1,2,箱根観光コース,箱根の絶景スポットから旅の疲れをとる温泉まで1日観光コース
4,2,3,琵琶湖ひとり旅,ちはやふるの舞台を通る絶景スポットコース
8,4,5,和歌山をドライブ,景色の良いスカイラインを走るドライブコース
13,6,7,横浜中華街食べ歩き,横浜中華街をめぐる食べ歩き
5,2,3,熱海、東伊豆ひとり旅,人気の熱海プリンから絶景スポットまで行くひとり旅コース
11,5,6,秩父絶景コース,吊り橋からの絶景と秩父名物を食べ温泉で締める観光コース
2,1,1,愛媛観光コース,しまなみ海道の景色から始まる愛媛県の観光
7,3,4,淡路島観光コース,淡路島を一周し景色を楽しむ
9,4,5,大分観光コース,絶景ドライブと温泉を楽しみ、名物のステーキを堪能
10,5,6,六甲山レジャー,牧場で癒されたあとアスレチックで遊びまわる
6,3,4,島根観光コース,出雲大社のお参りからお土産のワイン選びまで楽しむコース
3,1,1,日光観光コース,絶景を楽しむドライブからレジャー体験まで遊び尽くす
12,6,7,川越食べ歩き,菓子屋の食べ歩きとショッピングを楽しむ